time,closing,moving average,signal
8/13/14 0:00,2358.9,2201.663833,
8/14/14 0:00,2335.95,2204.997833,
8/15/14 0:00,2360.64,2208.827333,
8/18/14 0:00,2374.56,2212.5965,
8/19/14 0:00,2374.77,2216.243,
8/20/14 0:00,2366.14,2219.890667,
8/21/14 0:00,2354.24,2222.972167,
8/22/14 0:00,2365.36,2226.4755,
8/25/14 0:00,2342.86,2229.582167,
8/26/14 0:00,2324.09,2232.485,
8/27/14 0:00,2327.6,2235.807167,
8/28/14 0:00,2311.28,2238.485167,
8/29/14 0:00,2338.29,2241.878,
9/1/14 0:00,2355.32,2245.562,
9/2/14 0:00,2386.46,2249.315167,
9/3/14 0:00,2408.84,2253.449667,
9/4/14 0:00,2426.22,2257.9965,
9/5/14 0:00,2449.26,2262.546833,
9/9/14 0:00,2445.22,2266.7695,
9/10/14 0:00,2432.43,2271.148833,
9/11/14 0:00,2423.45,2275.535667,
9/12/14 0:00,2438.36,2280.7265,
9/15/14 0:00,2437.19,2285.734167,
9/16/14 0:00,2388.76,2289.978333,
9/17/14 0:00,2401.33,2294.2535,
9/18/14 0:00,2408.66,2298.841667,
9/19/14 0:00,2425.21,2303.443833,
9/22/14 0:00,2378.92,2307.254833,
9/23/14 0:00,2399.46,2311.1605,
9/24/14 0:00,2441.86,2315.782167,
9/25/14 0:00,2436.97,2320.217167,
9/26/14 0:00,2437.2,2324.500667,
9/29/14 0:00,2447.8,2328.985667,
9/30/14 0:00,2450.99,2333.564,
10/8/14 0:00,2478.38,2338.529167,
10/9/14 0:00,2481.96,2344.083333,
10/10/14 0:00,2466.79,2349.482333,
10/13/14 0:00,2454.95,2354.598,
10/14/14 0:00,2446.56,2359.178,
10/15/14 0:00,2463.87,2363.992833,
10/16/14 0:00,2444.4,2368.551667,
10/17/14 0:00,2441.73,2373.296,
10/20/14 0:00,2454.71,2378.138833,
10/21/14 0:00,2433.39,2382.5905,
10/22/14 0:00,2418.64,2386.356167,
10/23/14 0:00,2395.94,2389.658,
10/24/14 0:00,2390.71,2392.219667,Sell in the next trading day
10/27/14 0:00,2368.83,2394.026,
10/28/14 0:00,2416.65,2395.571833,Buy in the next trading day
10/29/14 0:00,2451.38,2397.572,
10/30/14 0:00,2468.93,2400.020667,
10/31/14 0:00,2508.32,2402.655167,
11/3/14 0:00,2512.55,2405.707667,
11/4/14 0:00,2513.17,2408.000167,
11/5/14 0:00,2503.45,2410.235167,
11/6/14 0:00,2506.07,2412.616,
11/7/14 0:00,2502.15,2415.5275,
11/10/14 0:00,2565.73,2419.4375,
11/11/14 0:00,2558.61,2422.6585,
11/12/14 0:00,2594.32,2426.613,
11/13/14 0:00,2579.75,2430.293833,
11/14/14 0:00,2581.09,2434.3795,
11/17/14 0:00,2567.1,2437.8205,
11/18/14 0:00,2541.42,2440.6015,
11/19/14 0:00,2537.22,2443.309,
11/20/14 0:00,2537.1,2446.158333,
11/21/14 0:00,2583.46,2449.978667,
11/24/14 0:00,2649.26,2454.710333,
11/25/14 0:00,2685.56,2460.422,
11/26/14 0:00,2723.02,2467.070833,
11/27/14 0:00,2754.49,2474.185667,
11/28/14 0:00,2808.82,2482.478,
12/1/14 0:00,2819.81,2490.503333,
12/2/14 0:00,2923.94,2499.980333,
12/3/14 0:00,2967.55,2509.665167,
12/4/14 0:00,3104.35,2521.257,
12/5/14 0:00,3124.89,2532.9015,
12/8/14 0:00,3252.88,2546.295167,
12/9/14 0:00,3106.91,2557.323333,
12/10/14 0:00,3221.55,2570.475333,
12/11/14 0:00,3183.01,2583.134667,
12/12/14 0:00,3193.23,2595.715833,
12/15/14 0:00,3217.23,2608.7165,
12/16/14 0:00,3303.4,2623.9605,
12/17/14 0:00,3360.6,2639.948333,
12/18/14 0:00,3345.93,2655.5695,
12/19/14 0:00,3383.17,2671.5355,
12/22/14 0:00,3394.48,2688.4615,
12/23/14 0:00,3324.92,2703.885833,
12/24/14 0:00,3230.39,2717.028,
12/25/14 0:00,3335.42,2732.002167,
12/26/14 0:00,3445.84,2748.812833,
12/29/14 0:00,3455.46,2765.607167,
12/30/14 0:00,3457.55,2782.383167,
12/31/14 0:00,3533.71,2799.972,
1/5/15 0:00,3641.54,2819.298333,
1/6/15 0:00,3641.06,2838.8695,
1/7/15 0:00,3643.79,2858.6835,
1/8/15 0:00,3559.26,2877.2285,
1/9/15 0:00,3546.72,2895.276,
1/12/15 0:00,3513.58,2913.095667,
1/13/15 0:00,3514.04,2930.9675,
1/14/15 0:00,3502.42,2948.429333,
1/15/15 0:00,3604.12,2967.9415,
1/16/15 0:00,3635.15,2988.216667,
1/19/15 0:00,3355.16,3004.203667,
1/20/15 0:00,3396.22,3020.962167,
1/21/15 0:00,3548.89,3040.629833,
1/22/15 0:00,3567.61,3059.8125,
1/23/15 0:00,3571.73,3078.485,
1/26/15 0:00,3607.99,3097.469333,
1/27/15 0:00,3574.93,3115.246167,
1/28/15 0:00,3525.32,3132.125667,
1/29/15 0:00,3481.8,3148.2695,
1/30/15 0:00,3434.39,3163.785167,
2/2/15 0:00,3353.96,3177.916667,
2/3/15 0:00,3437.45,3193.505,
2/4/15 0:00,3401.77,3207.439,
2/5/15 0:00,3366.95,3220.911333,
2/6/15 0:00,3312.42,3232.879667,
2/9/15 0:00,3345.92,3245.649167,
2/10/15 0:00,3406.94,3259.413333,
2/11/15 0:00,3434.12,3273.863667,
2/12/15 0:00,3442.87,3288.887833,
2/13/15 0:00,3469.83,3304.431333,
2/16/15 0:00,3499.48,3320.471,
2/17/15 0:00,3522.32,3336.118667,
2/25/15 0:00,3478.73,3349.943167,
2/26/15 0:00,3566.29,3364.622,
2/27/15 0:00,3572.84,3378.785667,
